ordem;narrativa
499700;PARAFUSO ASSISTENCIA 
499874;"100 -  AGA'S - 22/06/2021 FRACIONADA
100 >> 64"
499960;SOLICITADO POR JUNIOR
501362;5.25.1017 - 14 PCS - 501.321
502016;
502017;
502858;
503962;Suporte da eletrocalhas da usinagem
504543;rbatista
504832;DEIVIDIRS - ADICIONAR FIXADOR
505687;GCOSTA - ALTERACAO DE DESENHO
505753;ESILVA - INSERIR PINO COM TRAVA CUNHA E MELHORAR FIXACAO
505754;ESILVA - DISPOSITIVO DISTANTE DO OPERADOR, POSSIBILIDADE DE ACRESCENTAR MAIS PECAS
505840;angelovb
505841;angelovb
506172;angelovb
506641;RZAMBELLI
507190;MELHORIA P/ EVITAR CAUSA DE ACIDENTES 
507327;ATUALIZACAO CONFORME PROJETO
507412;BBALAN
507413;BBALAN
507419;110 - GA'S - 07/03/2022
507423;110 - GA'S - 07/03/2022
507451;SPAGANINE - PECA AVULSA
507494;PECA REPOSICAO REFERENTE A OP: 507482
507500;rbatista- MAQ FEIRA
507596;
507604;ESILVA - DISPOSITIVO GRADE
507621;juniorapr
507624;
507637;SPAGANINE - DT
507641;SPAGANINE - DT
507774;20 - GP'S - 18/03/2022
507848;"PECA DE REPOSICAO REFERENTE A OP: 507822
"
507860;"PECA DE REPOSICAO REFERENTE A OP: 507836
4 >> 12"
507898;ESILVA - MELHORIA
507901;SPAGANINE - PCP/DT
507902;ADAOTACAO DE CONECTOR
507930;CHASSI H CAMINHAO ATR 320X
507932;CHASSI H CAMINHAO ATR 320X
508035;MATERIAL S/ROSCA
508048;PECA DE REPOSICAO REFERENTE A OP : 508040
508185;PECA AVULSA REFERENTE A OP: 508155
508201;
508217;CX OLEO ATA 28000 PROTOTIPO
508220;"CX OLEO ATA 28000 PROTOTIPO
1 >> 50"
508229;CX OLEO ATA 28000 PROTOTIPO
508233;"CX OLEO ATA 28000 PROTOTIPO
1 >> 50"
508253;MAq Grunner 
508260;MAq Grunner 
508265;MAq Grunner 
508382;rzambelli
508464;DF  MAQ FEIRA
508466;DF  MAQ FEIRA
508467;DF  MAQ FEIRA
508558;DF  MAQ FEIRA
508563;DF  MAQ FEIRA
508571;DF  MAQ FEIRA
508593;COR: VERDE PU
508649;juniorapr
508656;COR: PRETO
508657;P/ USO EXTERNO DANIEL
508739;PECA DE REPOSICAO REFERENTE A OP: 508390
508796;ABERETELLA - GRADE
508927;USINAR CONFORME DESENHO
508941;COR: VERDE JD
508943;
508961;JMARIA - RETRABALHO FIO DE ROSCA
508965;
508978;"SPAGANINE - GRADE 17/03/2022 E 07/04/2022 E 20/04/2022
3 >> 4"
508982;
508983;
508984;
509018;
509019;"PECA DE REPOSICAO REFERENTE A OP: 508934 / 508969
17 >> 14"
509113;esilva- MELHORIA NO DISPOSITIVO ( INVERTER LADO DE REFERENCIA)
509128;SPAGANINE
509260;juniorapr
509277;PECA DE REPOSICAO REFERENTE A OP: 509154
509311;PECA DE REPOSICAO REFERENTE A OP : 509243
509313;PECA DE REPOSICAO REFERENTE A OP : 509244
509326;
509347;
509404;JMARIA - RETRABALHO
509479;
509533;FRACIONADA 1274332 REPORTAR
509540;
509676;PECA DE REPOSICAO REFERENTE A OP: 509524
509692;
509698;
509733;"PECA AVULSA PLANTIO
spaganine 2 > 10 "
510056;"PECA AVULSA  REFERENTE A OP: 510049
"
510059;"COR: CINZA METALICO

ATENDER GARANTIA CLIENTE PARAISO MAQUINAS AGRICOLAS LTDA

GRADE ARADORA INTERMEDIARIA GAI28ATA - 28 X 6,0MM"
510064;rzambelli
510081;ESTOQUE
510200;20 - GP'S - 12/05/2022
510201;"20 - GP'S - 12/05/2022
120 >> 66"
510207;20 - GP'S - 12/05/2022
510251;GCOSTA - COR: VERDE JOHN DEERE
510264;PECA AVULSA - PROTOTIPO
510507;angelovb
510544;gmoretto
510571;SPAGANINE - FAZER ROSCA
510732;PECA AVULSA - PLANTIO
510733;PECA AVULSA - PLANTIO
510745;PECA AVULSA - PLANTIO
510770;
510771;
510776;esilva-melhoria em base sextavada de guia, e adequaCAo para o item 5.12.1138
510816;COLOCAR CONECTOR
510906;20 - GN'S - 24/05/2022
510934;
510937;
510938;
510973;rzambelli- Jumelo
510974;rzambelli- Jumelo
511001;PECA AVULSA REFERENTE A OPS : 510994/510995/510996/510997
511006;PECA AVULSA REFERENTE A OPS : 510994/510995/510996/510997
511037;juniorapr
511051;PAGANINE
511136;
511166;GRADES PED: 45087 - 02/06/2022
511185;20 - GP'S - 01/06/2022
511310;GRADES - 02/06/2022 - PED: 45186 + OP: 511166
511311;GRADES - 02/06/2022
511330;PECAS DEMONTAGEM PLANTIO
511337;deividirs
511412;JOSIMAR QUALIDADE
511413;juniorapr
511717;PECA AVULSA - PLANTIO
511883;rbatista
511884;arodrigues
511907;
511933;juniorapr
512077;COLOCAR CONECTOR - MAQUINA DC
512132;LEONARDO - PROTOTIPO
512133;LEONARDO - PROTOTIPO
512134;LEONARDO - PROTOTIPO
512149;PAGANINE
512188;PECA AVULSA - USINAGEM
512191;PECA AVULSA - MONTAGEM
512301;mtrovatti
512316;COR: PRETO
512319;PAGANINE
512320;PECA AVULSA - USINAGEM
